wavelength_nm,R30,R45,R60
4.555386047000000076e+02,3.139560968024062704e-01,3.328211813219046911e-01,1.123329242049224241e+00
4.556530761999999868e+02,3.140488117785698030e-01,3.330115087201968027e-01,1.124952341603552508e+00
4.557675476000000003e+02,3.140936069720871027e-01,3.332687712358765042e-01,1.124892893266751681e+00
4.558820190000000139e+02,3.145050166577837425e-01,3.331534953589680437e-01,1.122552409329832690e+00
4.559964904999999931e+02,3.144126317789304181e-01,3.329374475447138271e-01,1.122975343901893464e+00
4.561109619000000066e+02,3.139702273911911257e-01,3.330486249585673519e-01,1.122719580191357425e+00
4.562254333000000202e+02,3.140030320624614402e-01,3.328909600936623137e-01,1.123361840103760168e+00
4.563399047999999993e+02,3.140144499759623953e-01,3.332256547933145630e-01,1.123048189714823897e+00
4.564544066999999927e+02,3.141743666947614533e-01,3.334450990690979721e-01,1.123573929012089190e+00
4.565689087000000086e+02,3.144917294641662031e-01,3.330494599184387616e-01,1.124667445957914458e+00
4.566833801000000221e+02,3.145271563525902092e-01,3.329282187111488600e-01,1.124827068335395808e+00
4.567978820999999812e+02,3.143441372998110883e-01,3.329815617443889764e-01,1.125560752240461593e+00
4.569123839999999745e+02,3.143117268156713218e-01,3.327245021462163499e-01,1.127760115430077370e+00
4.570269165000000271e+02,3.144168788213601573e-01,3.326071972114897912e-01,1.129145584325156104e+00
4.571414184999999861e+02,3.144111628478654663e-01,3.326870300947078474e-01,1.130691049705597084e+00
4.572559509000000162e+02,3.140459742397888054e-01,3.331740649614415850e-01,1.131071488303569517e+00
4.573704528999999752e+02,3.139119498934929142e-01,3.330733176556263664e-01,1.132246738829473243e+00
4.574849854000000278e+02,3.139549456905536551e-01,3.329591432545521146e-01,1.133040616952828872e+00
4.575995178000000010e+02,3.137227280994627776e-01,3.329387432163979921e-01,1.132403583155311644e+00
4.577140502999999967e+02,3.139089560405272650e-01,3.328544636457877459e-01,1.132308294387716519e+00
4.578285827999999924e+02,3.140131195682223098e-01,3.325132647899635141e-01,1.133399143662948472e+00
4.579431458000000248e+02,3.139902253383083375e-01,3.330546669334772947e-01,1.132499312517533108e+00
