wavelength_nm,R30,R45,R60
4.595472106999999937e+02,3.207079542799661231e-01,3.546606019571955093e-01,1.064425913496522380e+00
4.596618042000000059e+02,3.072390352076919129e-01,3.168854019461594951e-01,1.035667696576344499e+00
4.597764281999999980e+02,2.931716938556621632e-01,3.013913110089104785e-01,1.113893109262735326e+00
4.598910217000000102e+02,3.065973822740393206e-01,3.125606194748569155e-01,1.114092632189780607e+00
4.600056458000000248e+02,2.977239020557226890e-01,3.037753475231894651e-01,1.236648939981260797e+00
4.601202698000000169e+02,2.990603030464321077e-01,3.278738123060941922e-01,1.166569765107208223e+00
4.602348938000000089e+02,3.074262427722500024e-01,3.347640402662737658e-01,1.110757380314664866e+00
4.603495482999999808e+02,3.123319374353771827e-01,3.327863172969323657e-01,1.081921548824726687e+00
4.604641723999999954e+02,3.156678266555548729e-01,3.436986446804914386e-01,1.050398403256249447e+00
4.605788269000000241e+02,3.026611822255075857e-01,3.702175908333902865e-01,1.127828366849706443e+00
4.606934509000000162e+02,3.228100750524147688e-01,3.434680783813660043e-01,1.179029859644281419e+00
4.608081055000000106e+02,3.262584991846241844e-01,3.580093721776055338e-01,1.249152361869626304e+00
4.609227599999999825e+02,3.317756504140188523e-01,3.146464192425469375e-01,1.162091365416599187e+00
4.610374145999999769e+02,3.027016270973096890e-01,3.391878034040426426e-01,1.057335322335790639e+00
4.611520995999999855e+02,3.280447527932036644e-01,3.285741240550779652e-01,1.275166225323090652e+00
4.612667541999999798e+02,3.235591735851213735e-01,3.215545456795068091e-01,1.232820938281425027e+00
4.613814087000000086e+02,3.049494571002924759e-01,3.446249039689524563e-01,1.146460149082509261e+00
4.614960937999999828e+02,2.912726474495729856e-01,3.485172485268331899e-01,1.134825363878134707e+00
4.616107787999999914e+02,3.181234648163617784e-01,3.270172586236606560e-01,1.218760177627917773e+00
4.617254639000000225e+02,3.092113028575633193e-01,3.422214421455966327e-01,1.168085494347576025e+00
4.618401488999999742e+02,3.003939386070854645e-01,3.560247001554432411e-01,1.240828200441221441e+00
4.619548340000000053e+02,2.971060428699343614e-01,3.194608008605637761e-01,1.093478006388659995e+00
4.620695496000000162e+02,3.510482788873162119e-01,3.246405843940055602e-01,1.130625974663914901e+00
4.621842346000000248e+02,3.118252259707519070e-01,3.430086515647853829e-01,1.126802036369330517e+00
4.622989501999999788e+02,3.276183178182582312e-01,3.194656359782618305e-01,1.171462280356152519e+00
4.624136353000000099e+02,2.941637495812334802e-01,3.517651075486930567e-01,1.010135360471175581e+00
4.625283507999999983e+02,3.423571063500362444e-01,3.265521523133458337e-01,1.056079562712044506e+00
4.626430664000000093e+02,3.309396885936718435e-01,3.081902293745265031e-01,1.047699326943209108e+00
4.627578125000000000e+02,3.061571778896607365e-01,3.144514535222138751e-01,1.116671460568879004e+00
4.628725281000000109e+02,3.192708145697200073e-01,3.383729453133937914e-01,1.173684618434447380e+00
4.629872437000000218e+02,3.170284264782259886e-01,3.605022099946880165e-01,1.193159027918565762e+00
4.631019896999999901e+02,3.156709298230190308e-01,3.325414165774057129e-01,1.081392422792627039e+00
4.632167357999999808e+02,3.159246568968495650e-01,3.436219796284616379e-01,1.201360358692593389e+00
4.633314819000000284e+02,3.020081806544550052e-01,3.237055165456931838e-01,1.119063135024132905e+00
4.634462280000000192e+02,3.255035946187015417e-01,3.353796082550988822e-01,1.143869973684968233e+00
4.635609741000000099e+02,3.043422408095647347e-01,3.301972186606951243e-01,1.169010755755696351e+00
4.636757202000000007e+02,3.107810693804199387e-01,3.190911556315491060e-01,1.243776879008925862e+00
4.637904662999999914e+02,3.217010831113060187e-01,3.594904847628343503e-01,1.113707766680479772e+00
4.639052429000000188e+02,3.192684960637935387e-01,3.411576717288804517e-01,1.109799202035254284e+00
4.640200194999999894e+02,3.181590252581008582e-01,3.676820064131388066e-01,1.132864998365038955e+00
4.641347655999999802e+02,3.139698278523776476e-01,3.611822036430127336e-01,1.137212011870869954e+00
4.642495422000000076e+02,3.192363086368700253e-01,3.248431514035932111e-01,1.049068169684938434e+00
4.643643187999999782e+02,3.197260994650551469e-01,3.338169322898568714e-01,1.137307304655378548e+00
4.644791260000000079e+02,2.975247890852119603e-01,3.363005281188821138e-01,1.342796233956059515e+00
4.645939025999999785e+02,3.063971001101820635e-01,3.338202106291285332e-01,1.108790890714911770e+00
4.647087096999999858e+02,3.371958942768353285e-01,3.393482710041360595e-01,1.150712989466699421e+00
4.648234863000000132e+02,3.062017706356174318e-01,3.580956816150377420e-01,1.141825821245557426e+00
4.649382934999999861e+02,3.152711567755611122e-01,3.329592734429671630e-01,1.181438146574710357e+00
4.650531005999999934e+02,2.981969651653519349e-01,3.367154695119964902e-01,1.165391129541638371e+00
4.651679077000000007e+02,3.095103532939159630e-01,3.711568524283668791e-01,1.185368854602536492e+00
4.652827148000000079e+02,3.086051202304270213e-01,3.280058859917268643e-01,1.168797638880518353e+00
4.653975219999999808e+02,3.327731400618537672e-01,3.397718890166893102e-01,1.210713997691827970e+00
4.655123596000000248e+02,3.140734803157025912e-01,3.486709894558756573e-01,1.073061213144476778e+00
4.656271666999999752e+02,3.240644452463176117e-01,3.337086647381285465e-01,1.110603203020229746e+00
4.657420043999999848e+02,3.217100887090861838e-01,3.315584357737674792e-01,1.173339901356380555e+00
4.658568419999999719e+02,3.238874568113326857e-01,3.358071004294384543e-01,1.127427130548383172e+00
4.659716796999999815e+02,3.283285479981671862e-01,3.600455248711819656e-01,1.151433034267901112e+00
4.660865173000000254e+02,3.232736039883588042e-01,3.501795809446416885e-01,1.210897017414748644e+00
4.662013549999999782e+02,3.145849549876371665e-01,3.549093840813322132e-01,1.187359058102761322e+00
4.663162231000000020e+02,3.177996313352729474e-01,3.467195566071946677e-01,1.161193117630828331e+00
4.664310608000000116e+02,3.126583028639758344e-01,3.682086166936200389e-01,1.137865100770668381e+00
4.665459290000000010e+02,3.152415436123221504e-01,3.108933029648456303e-01,1.205609921006376872e+00
4.666607971000000248e+02,3.267060675283818827e-01,3.395313553625262659e-01,1.121438369232988785e+00
4.667756653000000142e+02,3.451041885392944764e-01,3.403510369209168385e-01,1.139994444798593021e+00
4.668905333999999812e+02,3.322039900268293766e-01,3.640099580195157447e-01,1.256435571419457942e+00
4.670054016000000274e+02,3.354849388655530285e-01,3.561585146337841179e-01,1.132331523115681415e+00
4.671202698000000169e+02,3.266972899058777080e-01,3.316215733014883926e-01,1.173794292874690059e+00
4.672351684999999861e+02,3.391170329764860991e-01,3.270142615521632878e-01,1.153862627507655336e+00
4.673500366000000099e+02,3.268361706431927027e-01,3.488369227851971233e-01,1.221361632701808864e+00
4.674649352999999792e+02,3.224019156990630686e-01,3.380618022655846877e-01,1.124922467182704722e+00
4.675798340000000053e+02,3.038078984678799221e-01,3.530103024586087601e-01,1.132209472861386734e+00
4.676947326999999746e+02,3.208699060666457270e-01,3.140610883472909065e-01,1.153415763644727976e+00
4.678096312999999782e+02,3.266765941686877173e-01,3.452995011898719602e-01,1.184909679961187345e+00
4.679245300000000043e+02,3.243275449736309213e-01,3.653660933493668161e-01,1.345366799019007908e+00
4.680394592000000102e+02,3.178482691688123696e-01,3.272201981836352913e-01,1.212326466137310765e+00
4.681543578999999795e+02,3.063207806803681654e-01,3.396305026063582977e-01,1.133427487686295976e+00
4.682692870999999855e+02,3.283410049356764726e-01,3.342914043924947176e-01,1.207058696785690000e+00
4.683842162999999914e+02,3.108517328695333259e-01,3.452033412216730102e-01,1.131267829036320505e+00
4.684991454999999974e+02,3.346136366623546077e-01,3.435355909772229710e-01,1.120728900905783698e+00
4.686140747000000033e+02,2.920072800615102770e-01,3.296367411800456004e-01,1.177830292863642159e+00
